id	em[keV]	xm[cm]	ym[cm]	zm[cm]	xdm[cm]	ydm[cm]	zdm[cm]
138	7.828364000e+03	-6.689800000e-01	-2.079800000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
139	4.273030000e+02	-2.890918660e+05	-5.548125232e+05	3.310000000e+06	-3.248500000e-01	-6.199300000e-01	-7.142500000e-01
140	1.589922000e+03	-3.645889198e+05	-7.217258230e+03	3.310000000e+06	-6.404200000e-01	-1.268000000e-02	-7.679200000e-01
141	1.032875000e+03	-3.972800000e-01	3.617000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
142	9.590210000e+03	-7.783400000e-01	4.432900000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
143	3.012913000e+03	-1.709100000e-01	-6.719200000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
144	8.132590000e+02	-2.351385237e+05	3.281970584e+05	3.310000000e+06	-3.281900000e-01	4.580700000e-01	-8.261100000e-01
145	6.233726000e+03	3.859900000e-01	8.324800000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
146	2.966926000e+03	7.840100000e-01	-1.657000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
147	1.606228000e+03	-1.163434979e+05	-2.818925557e+05	3.310000000e+06	-1.432400000e-01	-3.470600000e-01	-9.268400000e-01
148	1.433814000e+03	-4.352200000e-01	6.201900000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
149	2.542669000e+03	-5.746300000e-01	-6.803800000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
150	3.048552000e+03	1.679000000e-01	-1.668700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
151	3.203870000e+03	4.654000000e-02	8.697000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
152	7.354656000e+03	4.638900000e-01	-6.386700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
153	8.133060000e+02	8.693800000e-01	-2.501400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
154	1.798194000e+03	-4.050200000e-01	6.645200000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
155	7.500820000e+03	6.811600000e-01	-4.939700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
156	5.332015000e+03	5.000100000e-01	-1.275300000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
158	8.075228000e+03	5.488700000e-01	-5.870700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
159	8.275976000e+03	1.540500000e-01	-2.015700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
