altitude[km]	mass_density[kg/m3]	N2[m-3]	O2[m-3]	O[m-3]	He[m-3]	H[m-3]	Ar[m-3]	N[m-3]	anomalous_oxygen[m-3]	NO[m-3]	Temperature[k]
1.207000e+02	1.277965e-08	2.102336e+17	3.490259e+16	4.087538e+16	2.665038e+13	5.117679e+12	8.959176e+14	3.792876e+11	0.000000e+00	1.553012e+13	4.060066e+02
1.208000e+02	1.263634e-08	2.078573e+17	3.444180e+16	4.059707e+16	2.653296e+13	5.080915e+12	8.824250e+14	3.832991e+11	0.000000e+00	1.543891e+13	4.074402e+02
1.209000e+02	1.249541e-08	2.055204e+17	3.398944e+16	4.032207e+16	2.641714e+13	5.044619e+12	8.691956e+14	3.873534e+11	0.000000e+00	1.534904e+13	4.088645e+02
1.210000e+02	1.235686e-08	2.032224e+17	3.354534e+16	4.005108e+16	2.630279e+13	5.008786e+12	8.562172e+14	3.914558e+11	0.000000e+00	1.526050e+13	4.102796e+02
1.211000e+02	1.222061e-08	2.009629e+17	3.310891e+16	3.978356e+16	2.618992e+13	4.973424e+12	8.434869e+14	3.956061e+11	0.000000e+00	1.517323e+13	4.116857e+02
1.212000e+02	1.208663e-08	1.987407e+17	3.268054e+16	3.951948e+16	2.607852e+13	4.938508e+12	8.309997e+14	3.998034e+11	0.000000e+00	1.508740e+13	4.130824e+02
1.213000e+02	1.195481e-08	1.965542e+17	3.225951e+16	3.925877e+16	2.596852e+13	4.904028e+12	8.187496e+14	4.040486e+11	0.000000e+00	1.500283e+13	4.144700e+02
1.214000e+02	1.182524e-08	1.944049e+17	3.184620e+16	3.900168e+16	2.585999e+13	4.870000e+12	8.067318e+14	4.083442e+11	0.000000e+00	1.491959e+13	4.158484e+02
1.215000e+02	1.169770e-08	1.922891e+17	3.143983e+16	3.874757e+16	2.575283e+13	4.836397e+12	7.949413e+14	4.126858e+11	0.000000e+00	1.483769e+13	4.172173e+02
1.216000e+02	1.157228e-08	1.902085e+17	3.104085e+16	3.849681e+16	2.564704e+13	4.803219e+12	7.833783e+14	4.170775e+11	0.000000e+00	1.475706e+13	4.185772e+02
1.217000e+02	1.144882e-08	1.881600e+17	3.064862e+16	3.824920e+16	2.554262e+13	4.770442e+12	7.720206e+14	4.215177e+11	0.000000e+00	1.467776e+13	4.199278e+02
1.218000e+02	1.132734e-08	1.861445e+17	3.026313e+16	3.800470e+16	2.543944e+13	4.738086e+12	7.608781e+14	4.260090e+11	0.000000e+00	1.459983e+13	4.212693e+02
1.219000e+02	1.120783e-08	1.841615e+17	2.988437e+16	3.776313e+16	2.533765e+13	4.706129e+12	7.499435e+14	4.305498e+11	0.000000e+00	1.452317e+13	4.226013e+02
1.220000e+02	1.109018e-08	1.822095e+17	2.951183e+16	3.752469e+16	2.523709e+13	4.674568e+12	7.392004e+14	4.351410e+11	0.000000e+00	1.444780e+13	4.239244e+02
1.221000e+02	1.097443e-08	1.802886e+17	2.914596e+16	3.728921e+16	2.513781e+13	4.643390e+12	7.286674e+14	4.397839e+11	0.000000e+00	1.437381e+13	4.252383e+02
1.222000e+02	1.086045e-08	1.783969e+17	2.878607e+16	3.705664e+16	2.503975e+13	4.612600e+12	7.183176e+14	4.444784e+11	0.000000e+00	1.430106e+13	4.265431e+02
1.223000e+02	1.074827e-08	1.765351e+17	2.843234e+16	3.682692e+16	2.494288e+13	4.582178e+12	7.081579e+14	4.492245e+11	0.000000e+00	1.422964e+13	4.278389e+02
1.224000e+02	1.063779e-08	1.747014e+17	2.808446e+16	3.659986e+16	2.484727e+13	4.552120e+12	6.981764e+14	4.540203e+11	0.000000e+00	1.415957e+13	4.291257e+02
1.225000e+02	1.052905e-08	1.728965e+17	2.774240e+16	3.637571e+16	2.475282e+13	4.522439e+12	6.883770e+14	4.588715e+11	0.000000e+00	1.409077e+13	4.304034e+02
1.226000e+02	1.042197e-08	1.711191e+17	2.740604e+16	3.615412e+16	2.465949e+13	4.493106e+12	6.787558e+14	4.637746e+11	0.000000e+00	1.402325e+13	4.316725e+02
1.227000e+02	1.031653e-08	1.693688e+17	2.707527e+16	3.593520e+16	2.456731e+13	4.464119e+12	6.693113e+14	4.687304e+11	1.165414e-30	1.395710e+13	4.329326e+02
